,Country,Country Code,Number of athletes,Gold medals,Silver medals,Bronze medals,Total medals,GDP,GDP per capita,Population,Life expectancy,Democracy,Gender equality,Continent,Female athletes %,log_GDP,log_GDPpc,log_Population
178,Switzerland,CHE,127,1,2,5,8,818426550206.45,93259.9057183024,8775760.0,83.4536585365854,9.14,0.018,Europe,0.4881889764,27.430649492658844,11.443145559406434,15.98750393325241
180,Chinese Taipei,TWN,60,2,0,5,7,,,,,8.92,,Asia,0.5666666667,,,
181,Tajikistan,TJK,14,0,0,3,3,10713525200.3998,1076.43469114729,9952787.0,71.288,1.94,0.269,Asia,0.2142857143,23.0947728176121,6.981409647195629,16.113363170416466
183,Thailand,THA,51,1,3,2,6,495645210972.751,6913.05080521119,71697030.0,79.68,6.35,0.31,Asia,0.5294117647,26.929126207263742,8.841166325145974,18.08795988211777
187,Tunisia,TUN,27,1,1,1,3,44579761022.8993,3607.91023773078,12356117.0,74.263,5.51,0.237,Africa,0.5185185185,24.520545804254937,8.190884002195313,16.329661802059622
188,Turkey,TUR,101,0,3,5,8,907118435952.688,10674.5041731531,84979913.0,78.475,4.33,0.259,Asia,0.5346534653,27.53353885841842,9.275613389538304,18.257925468880117
191,Uganda,UGA,24,1,1,0,2,45565333216.4142,964.354146526666,47249585.0,63.638,4.49,0.527,Africa,0.5416666667,24.542413027858306,6.871458599061635,17.670954428796673
192,Ukraine,UKR,140,3,5,4,12,161989520721.19,4575.97509765625,38000000.0,68.5879268292683,5.06,0.188,Europe,0.4857142857,25.810797483180274,8.428575091099077,17.45309671769066
194,United States,USA,592,40,44,42,126,25744108000000.0,77246.6738828672,333271411.0,77.4341463414634,7.85,0.18,North America,0.5304054054,30.879226901322046,11.254759137300569,19.624467764021475
196,Uzbekistan,UZB,86,8,2,3,13,81140823252.4164,2276.16123306477,35648100.0,71.674,2.12,0.242,Asia,0.3720930233,25.119452040746896,7.730245633275273,17.389206407471622
202,Zambia,ZMB,27,0,0,1,1,29163782140.4858,1456.90157026157,20017675.0,61.803,5.8,0.526,Africa,0.7407407407,24.09619343871065,7.284067247469493,16.812126191241155
